Topic,Difficulty,Question,Answer
Wine Styles - White,Easy,What grapes can white wine be made from?,"Ex: Chablis (France), wines made from Riesling grape"
Wine Styles - White,Medium,Can white wine be made from black grapes?,"Yes, can be made from black grapes if skins separated from juice before fermentation"
Wine Styles - Red,Easy,What grapes must red wine be made from?,Must be made from black grapes
Wine Styles - Red,Easy,What are examples of red wines?,"Ex: Rioja (Spain), wines made from Cabernet Sauvignon grape"
Wine Styles - Rosé,Medium,What is a rosé wine also known as?,"Rosé (also called ""blush"")"
Wine Styles - Rosé,Easy,What grapes is rosé made from?,Made from black grapes
Wine Styles - Rosé,Medium,How long is juice in contact with skins for rosé?,Juice only in contact w/ skins for a short time
Wine Styles - Rosé,Medium,What is an example of a rosé wine?,Ex: White Zinfandel
Wine Styles - Structure - Sweetness,Medium,What are the structural characteristics?,"Sweetness, Dry, Most wines are dry"
Wine Styles - Structure - Sweetness,Medium,What wines are typically dry?,"Ex: Chablis (France), & wine made from Sauvignon Blanc"
Wine Styles - Structure - Dry Reds,Easy,What are examples of dry red wines?,"Ex: Côtes du Rhône (France), Chianti (Italy), wines made from Cabernet Sauvignon"
Wine Styles - Structure - Medium,Medium,What defines medium wines?,Usually white or rosé
Wine Styles - Structure - Medium,Medium,How are medium wines made?,Ways to make medium: yeast stops fermenting before they eat all the sugar
Wine Styles - Structure - Medium,Medium,How are fortified wines made sweet?,"For fortified wines, high-strength alcohol added before yeast"
Wine Styles - Structure - Medium,Easy,What are examples of medium wines?,Ex: some Riesling (Germany) & White Zinfandel (rosé) from California
Wine Styles - Structure - Sweet,Medium,Can sweet wines feel thick & syrupy?,Can feel thick & syrupy
Wine Styles - Structure - Sweet,Medium,What are ways to make sweet wines?,Ways to make sweet: yeast stops fermenting before they eat all the sugar
Wine Styles - Structure - Sweet,Easy,What are examples of sweet wines?,"Ex: Sauternes (France), some Riesling (Germany), Port, & Sherry"
Wine Styles - Structure - Acidity,Medium,Where does acidity come from?,Comes directly from grape juice
Wine Styles - Structure - Acidity,Medium,What does wine acidity give?,Gives wine refreshing characteristic
Wine Styles - Structure - Acidity,Medium,What does acidity do to your mouth?,Makes your mouth water
Wine Styles - Structure - Acidity,Medium,When do too acidic tastes become unpleasant?,"Too acidic tastes unpleasant, not enough & it's not refreshing"
Wine Styles - Structure - Acidity,Easy,What are examples of high acidity wines?,"Ex. high acidity: Chablis, Chianti, & wines made from Sauvignon Blanc, Riesling, Cabernet Sauvignon, or Pinot Noir varieties"
Wine Styles - Structure - Acidity,Medium,What does high acidity balance?,Balances out sweetness
Wine Styles - Structure - Tannin,Medium,Where does tannin come from?,Comes from skins of red wines
Wine Styles - Structure - Tannin,Hard,How does tannin taste?,Can taste bitter but more a feel than a taste
Wine Styles - Structure - Tannin,Medium,What does tannin cause your mouth to do?,Cause your mouth to feel dry
Wine Styles - Structure - Tannin,Easy,What are examples of high tannin wines?,Ex: red Bordeaux (France) & Chianti (Italy)
Wine Styles - Structure - Tannin,Easy,What are examples of low tannin wines?,Ex low: Beaujolais (France) & some Pinot Noir
Wine Styles - Structure - Alcohol,Medium,What is the ABV range for most wines (except fortified)?,Anywhere from 8-15% (except for fortified) but usually between 11.5-14%
Wine Styles - Structure - Alcohol,Easy,What are examples of high alcohol wines?,Ex high level: Châteauneuf-du-Pape (France)
Wine Styles - Structure - Alcohol,Easy,What are examples of low alcohol wines?,"Ex low level: White, Zinfandel (California)"
Wine Styles - Structure - Body,Medium,What is body in wine?,Overall mouthfeel
Wine Styles - Structure - Body,Easy,What are examples of light-bodied wines?,Ex light-bodied: Pinot Grigio (Italy) & Beaujolais
Wine Styles - Structure - Body,Easy,What are examples of medium-bodied wines?,Ex medium-bodied: Sancerre & Côtes du Rhône
Wine Styles - Structure - Body,Easy,What are examples of full-bodied wines?,Ex full-bodied: Cabernet Sauvignon (California) & Sauternes
Aromas & Flavors - Fruit,Medium,Are fruit aromas present in many wines?,Present in many wines
Aromas & Flavors - Fruit,Hard,What influences fruit aromas?,Influenced by ripeness of the grape
Aromas & Flavors - Fruit,Medium,What fruit aromas does Cabernet Sauvignon have?,Ex: Cabernet Sauvignon has blackcurrant aromas
Aromas & Flavors - Fruit,Medium,What fruit aromas can Chardonnay have in cool climates?,Chardonnay grown in cool climates can have green fruits (ex: apple) or citrus (ex: lemon)
Aromas & Flavors - Fruit,Medium,What fruit aromas can Chardonnay have in warm climates?,Chardonnay grown in warm climates shows stone fruits (peach) or tropical fruits (pineapple)
Aromas & Flavors - Oak,Medium,What can wine be fermented or matured in?,Wine can be fermented or matured in oak
Aromas & Flavors - Oak,Medium,What flavors does oak give wine?,"Gives wine flavors of cedar, cloves, coconut, smoke, & vanilla"
Aromas & Flavors - Other,Medium,What are other examples of aromas?,"Ex: grass, flowers, herbs, vegetables, earth, mushroom, & leather"
Grape Varieties - White - Chardonnay,Medium,How popular is Chardonnay?,Most popular & widely grown
Grape Varieties - White - Chardonnay,Medium,Can Chardonnay produce dry wines in variety of styles?,Can produce dry wines in a variety of styles
Grape Varieties - White - Chardonnay,Medium,What is Chardonnay like in cool climates?,"In cool climates, wines are high in acidity, light-to-medium-bodied, & have green fruit or citrus aromas"
Grape Varieties - White - Chardonnay,Medium,What is Chardonnay like in warm climates?,"In warm climates, have medium acidity, medium-to-full-body with stone fruit & tropical fruit flavors"
Grape Varieties - White - Chardonnay,Medium,Where is Chardonnay used for white wines?,Used for the white wines of Burgundy (France) (ex: Chablis)
Grape Varieties - White - Chardonnay,Medium,What characteristics do Chablis Chardonnays have?,"Medium-bodied, high acidity, aromas of citrus & stone fruit. May have notes of vanilla from maturation in oak."
Grape Varieties - White - Chardonnay,Easy,Where do Chablis wines come from?,The wines from Chablis come from the coolest part of Burgundy & have high acidity & a light to medium body with flavors of green fruits & citrus. These are typically unoaked.
Grape Varieties - White - Chardonnay,Medium,Where else is Chardonnay produced?,Australia & California also known for production
Grape Varieties - White - Chardonnay,Medium,Can Chardonnay be used in making Champagne?,Can be used in making Champagne where it is often mixed with Pinot Noir
Grape Varieties - White - Sauvignon Blanc,Medium,What kind of wines does Sauvignon Blanc produce?,Produces dry wines that have a pronounced intensity of aromas & refreshingly high acidity
Grape Varieties - White - Sauvignon Blanc,Medium,What is the body range for Sauvignon Blanc?,Light-to-medium-bodied with aromas that range from green fruit (apple) to citrus (grapefruit) to tropical (passion fruit)
Grape Varieties - White - Sauvignon Blanc,Medium,What herbaceous notes does Sauvignon Blanc tend to have?,"Tend to have herbaceous notes (asparagus, green bell pepper/capsicum, grass)"
Grape Varieties - White - Sauvignon Blanc,Medium,Is Sauvignon Blanc often fermented in stainless steel?,Often fermented in stainless steel tanks & usually not in oak to retain aromas
Grape Varieties - White - Sauvignon Blanc,Medium,What are popular examples of Sauvignon Blanc?,Popular ex: New Zealand Sauvignon Blanc & Sancerre from France
Grape Varieties - White - Pinot Grigio,Medium,How popular is Pinot Grigio?,Very popular grape variety that produces wines
Grape Varieties - White - Pinot Grigio,Medium,What is the acidity and body of Pinot Grigio?,Medium to high acidity light body & simple flavors of pear & lemon
Grape Varieties - White - Pinot Grigio,Medium,Is Pinot Grigio typically dry?,Typically dry
Grape Varieties - White - Pinot Grigio,Medium,Is Pinot Grigio usually fermented in stainless steel?,Usually fermented in stainless steel tanks instead of oak to retain fruity flavors
Grape Varieties - White - Pinot Grigio,Medium,Where is Pinot Grigio mainly associated with?,Mainly associated w/ Italy but also grown in other countries
Grape Varieties - White - Riesling,Medium,What kind of wines does Riesling produce?,"Produces wines that range from dry to sweet, but all have high levels of acidity. This can help to balance the sweetness."
Grape Varieties - White - Riesling,Medium,What aromas does Riesling have?,Pronounced aromas ranging from: floral & green fruits (apple) to citrus (lemon & lime) to stone fruits (peach & apricot)
Grape Varieties - White - Riesling,Medium,What is the body range for Riesling?,Light-to-medium bodied
Grape Varieties - White - Riesling,Medium,Is Riesling often fermented in stainless steel?,Often fermented in stainless steel & not matured in oak
Grape Varieties - White - Riesling,Medium,Where is Riesling considered a classic grape?,Classic grape of Germany & can be dry to sweet
Grape Varieties - White - Riesling,Medium,What do Alsace and Australia produce for Riesling?,Alsace (France) & Australia produce dry style
Grape Varieties - Black - Cabernet Sauvignon,Medium,Where is Cabernet Sauvignon planted?,Widely planted around the world
Grape Varieties - Black - Cabernet Sauvignon,Medium,What kind of wines does Cabernet Sauvignon produce?,Produces dry wines w/ high levels of tannins & acidity
Grape Varieties - Black - Cabernet Sauvignon,Medium,What is the body range for Cabernet Sauvignon?,Can range from medium-to-full-bodied
Grape Varieties - Black - Cabernet Sauvignon,Medium,What fruit aromas & flavors does Cabernet Sauvignon have?,"Aromas & flavors of black fruits (blackcurrant, black cherry) & herbaceous notes (green bell pepper/capsicum, mint)"
Grape Varieties - Black - Cabernet Sauvignon,Medium,Are high tannin Cabernet Sauvignons often blended?,High levels of tannins so often blended w/ other varieties
Grape Varieties - Black - Cabernet Sauvignon,Medium,What is an example of blending with Cabernet Sauvignon?,Ex: Merlot in Bordeaux which adds softness & body
Grape Varieties - Black - Cabernet Sauvignon,Medium,Where is Cabernet Sauvignon grown widely?,"Grown widely in California, Australia, Chile, & South America"
Grape Varieties - Black - Cabernet Sauvignon,Medium,Is Cabernet Sauvignon sometimes blended with Shiraz in Australia?,Sometimes blended w/ Shiraz in Australia which adds aromas of spice
Grape Varieties - Black - Merlot,Medium,What kind of wine is Merlot?,Generally dry & medium-to-full-bodied with medium acidity & tannins
Grape Varieties - Black - Merlot,Medium,What fruit flavors does Merlot have?,Flavors range from red fruits (strawberry red plum) to black fruits (blackberry black plum)
Grape Varieties - Black - Merlot,Medium,Is Merlot often matured in oak?,Often matured in oak giving vanilla aromas
Grape Varieties - Black - Merlot,Medium,Where is Merlot grown widely?,Grown widely: Ex: Chile & California to produce soft fruity wines
Grape Varieties - Black - Merlot,Medium,Is Merlot commonly blended with Cabernet Sauvignon?,Commonly blended w/ Cabernet Sauvignon to add tannins & acidity
Grape Varieties - Black - Merlot,Medium,Where is Merlot most famous?,Bordeaux most famous for this but common elsewhere
Grape Varieties - Black - Pinot Noir,Medium,What kind of wine is Pinot Noir?,Tend to be dry & light-to-medium-bodied (ex: Beaujolais)
Grape Varieties - Black - Pinot Noir,Medium,What is the tannin and acidity level of Pinot Noir?,Low to medium tannins & high acidity
Grape Varieties - Black - Pinot Noir,Medium,What fruit flavors does Pinot Noir have?,Flavors of red fruit (strawberry red cherry raspberry) & often matured in oak which can give smoke & vanilla aromas
Grape Varieties - Black - Pinot Noir,Medium,Where is Pinot Noir largely used?,Grape used for red Burgundy & is the principal black grape in New Zealand
Grape Varieties - Black - Pinot Noir,Medium,Is Pinot Noir usually blended when making red wine?,Not usually blended if making red wine
Grape Varieties - Black - Pinot Noir,Medium,Can Pinot Noir be used with Chardonnay to make Champagne?,Can be used with Chardonnay to make Champagne
Grape Varieties - Black - Syrah/Shiraz,Medium,What is Syrah known as in France and Australia?,"Known as ""Syrah"" in France & ""Shiraz"" in Australia"
Grape Varieties - Black - Syrah/Shiraz,Medium,What kind of wine does Syrah/Shiraz produce?,Produces dry wines that are medium-to-full-bodied w/ medium to high tannins & medium acidity
Grape Varieties - Black - Syrah/Shiraz,Medium,What fruit flavors does Syrah/Shiraz have?,Typically flavors of black fruits (blackberry black cherry) w/ spice (black pepper licorice)
Grape Varieties - Black - Syrah/Shiraz,Medium,Is Syrah/Shiraz many matured in oak?,Many are matured in oak to give flavors of vanilla or coconut
Grape Varieties - Black - Syrah/Shiraz,Medium,Where can Syrah/Shiraz produce medium-bodied wines?,Northern Rhône in France can produce wines that are medium-bodied u/ fresh black fruit (blackberry) & black pepper aromas
Grape Varieties - Black - Syrah/Shiraz,Medium,Where can Syrah/Shiraz produce full-bodied wines?,Warm regions in Australia can produce full-bodied wines w/ jammy black fruit (black cherry) & licorice flavors
Regional Examples - Champagne,Easy,What type of wine is Champagne?,French sparkling wine made from Chardonnay & Pinot Noir
Regional Examples - Champagne,Easy,What is Champagne typically like?,Typically dry & has high acidity w/ aromas of green fruits (apple) & citrus (lemon) & notes of toasted bread (ex: brioche)
Regional Examples - Sancerre,Easy,What type of wine is Sancerre?,French white wine that is dry & medium-bodied
Regional Examples - Sancerre,Easy,What is Sancerre typically like?,Typically unoaked w/ high acidity
Regional Examples - Sancerre,Easy,What grape and aromas does Sancerre have?,"Pronounced green fruit (apple) & herbaceous (grass) aromas, made from Sauvignon Blanc"
Regional Examples - Chablis,Easy,What type of wine is Chablis?,Dry light-to-medium-bodied French white wine
Regional Examples - Chablis,Easy,What is Chablis typically like?,Unoaked w/ high acidity
Regional Examples - Chablis,Easy,What grape and aromas does Chablis have?,"Green fruit (apple) & citrus (lemon) aromas, made from Chardonnay"
Regional Examples - Burgundy - White,Easy,What region is Burgundy from?,Come from Burgundy/Bourgogne area of France
Regional Examples - Burgundy - White,Medium,What can Burgundy white wines be?,Either be white or red
Regional Examples - Burgundy - White,Medium,What are white Burgundy wines made from?,White wines are made from Chardonnay & can be oaked or un-oaked
Regional Examples - Burgundy - White,Medium,What are dry Burgundy white wines like?,"Dry, medium-bodied, & often show riper fruit flavors than Chablis such as citrus (lemon) & stone fruit (peach)"
Regional Examples - Burgundy - Red,Medium,What are red Burgundy wines made from?,Red wines are made from Pinot Noir & are dry
Regional Examples - Burgundy - Red,Medium,What are red Burgundy wines like?,"Tend to have low to medium tannins & be light-to-medium-bodied w/ high acidity. Flavors of red fruits (raspberry, red cherry) & sometimes vanilla/smoke from oak"
Regional Examples - Burgundy - Red,Easy,What is the French word for Burgundy?,"The French word for Burgundy is """"Bourgogne"""" & can be used on white or red wine labels"
Regional Examples - Bordeaux,Easy,What region is Bordeaux from?,Bordeaux region of France
Regional Examples - Bordeaux,Medium,What are most Bordeaux wines like?,"Most often red, with high acidity & tannins"
Regional Examples - Bordeaux,Medium,What are Bordeaux wines typically like?,"Dry & medium-to-full-bodied w/ aromas of black fruits (blackberry, black currant) & cedar notes from oak"
Regional Examples - Bordeaux,Easy,What is Bordeaux typically a blend of?,Typically a blend of Cabernet Sauvignon & Merlot
Regional Examples - Prosecco,Easy,What type of wine is Prosecco?,Light-bodied sparkling white wine from Italy
Regional Examples - Prosecco,Medium,What fruit and sweetness does Prosecco have?,Green fruit (pear) & floral aromas. Dry or medium in sweetness
Regional Examples - Cava,Easy,What type of wine is Cava?,Dry sparkling wine from Spain
Regional Examples - Cava,Medium,What fruit and citrus does Cava have?,Green fruit (apple) & citrus (lemon) flavors
Regional Examples - White Zinfandel,Easy,What type of wine is White Zinfandel?,Rosé wine from California
Regional Examples - White Zinfandel,Easy,What is White Zinfandel like?,"Unoaked, low alcohol, medium level of sweetness, & flavors of red fruits (strawberry & raspberry)"
Regional Examples - Beaujolais,Easy,What type of wine is Beaujolais?,Dry light-bodied red wine from France that is unoaked w/ fresh flavors of red fruits (raspberry red cherry) & low tannins
Regional Examples - Côtes du Rhône,Easy,What type of wine is Côtes du Rhône?,Dry medium-bodied red wine from France w/ red fruit (strawberry red plum) & white pepper flavors
Regional Examples - Côtes du Rhône,Easy,Is Côtes du Rhône unoaked or oaked?,Unoaked or oaked
Regional Examples - Chianti,Easy,What type of wine is Chianti?,Dry medium-bodied Italian red wine w/ high tannin & acidity
Regional Examples - Chianti,Medium,What flavors does Chianti have?,"Red fruit (red cherry, red plum) flavors, dried herb notes, & sometimes clove aromas from oak"
Regional Examples - Rioja,Easy,What type of wine is Rioja?,Dry medium-to-full-bodied red wine from Spain that typically has red fruit (strawberry) & vanilla flavors from oak
Regional Examples - Châteauneuf-du-Pape,Easy,What type of wine is Châteauneuf-du-Pape?,Dry full-bodied high alcohol red wine from France w/ red fruit (strawberry) & clove flavors from oak
Regional Examples - Sauternes,Easy,What type of wine is Sauternes?,Sweet white wine made in Bordeaux
Regional Examples - Sauternes,Easy,What is Sauternes like?,"Full-bodied w/ flavors of stone fruits (apricot), vanilla (from oak), & honey, & a balancing high acidity"
Regional Examples - Sherry,Easy,What type of wine is Sherry?,Fortified white wine from Spain
Regional Examples - Sherry,Easy,What is Sherry made in?,Made in a range of styles & can be dry medium or sweet
Regional Examples - Port,Easy,What type of wine is Port?,Fortified wine from Portugal
Regional Examples - Port,Easy,What is Port like?,"Sweet & high in alcohol, & made in a range of styles"
Regional Examples - Port,Easy,What are typical Port characteristics?,"Typically, they are red, full-bodied, w/ high tannins & black fruit (blackberry) flavors"
Storage - General,Medium,What are ideal storage conditions?,"Temperature, Light, Position of Bottle"
Storage - Preserving,Medium,What are methods for preserving wine?,Vacuum system & Blanket system
Service - Temperature - White/Rosé,Medium,At what temperature should white and rosé wines be served?,White and Rosé: well chilled
Service - Temperature - Sparkling,Medium,At what temperature should sparkling wines be served?,Sparkling: well chilled
Service - Temperature - Sweet,Medium,At what temperature should sweet wines be served?,Sweet: well chilled (43-48°F or 6-8°C)
Service - Temperature - Light & Medium Whites,Medium,At what temperature should light & medium-bodied white & rosé wines be served?,Light & medium-bodied white & rosé (ex: Pinot Grigio): chilled (45-50°F or 7-10°C)
Service - Temperature - Full-Bodied Whites,Medium,At what temperature should full-bodied whites be served?,Full-bodied: lightly chilled (ex: oaked Chardonnay): lightly chilled (50-55°F or 10-13°C)
Service - Temperature - Light-Bodied Reds,Medium,At what temperature should light-bodied reds be served?,Light-bodied red (ex: Beaujolais): lightly chilled (55°F or 13°C)
Service - Temperature - Medium & Full-Bodied Reds,Medium,At what temperature should medium-to-full-bodied reds be served?,Medium-to-full-bodied red (Ex: Shiraz): room temp (59-64°F or 15-18°C)
Service - Temperature - General Red,Medium,At what temperature should light-bodied reds be served generally?,Light-bodied red (ex: Beaujolais): lightly chilled (55°F or 13°C)
Storage - Keeping Wine Open,Medium,What should be used to keep wine chilled once opened?,To keep wine chilled once opened use insulated container or ice bucket w/ both ice & cold water in it
Storage - Keeping Wine Open,Medium,Should wine be heated?,Do not heat wine but let temp rise naturally
Storage - Long-term,Medium,What happens to wine in long-term storage?,Will slowly start to stale as soon as it is opened
Storage - Long-term,Hard,How should wine be stored in fridge?,Keep wine in fridge w/ cork
Storage - Long-term,Medium,What are vacuum systems for wine?,Rely on a pump to remove air from inside the bottle
Storage - Long-term,Medium,What are blanket systems for wine?,Pump a gas into the bottle which pushes air out of the bottle
Storage - Long-term,Medium,Does the gas in blanket systems harm wine?,The gas will not harm the wine
Glassware,Medium,What shape should the bowl of wine glass be?,Narrow at the rim. Allows for concentrated aromas
Glassware,Medium,Are red wine glasses larger than white wine glasses?,Typically red wine glasses are slightly larger than white wine glasses
Glassware,Medium,What is sparkling wine served in?,Sparkling wine served in flutes
Glassware,Medium,Should glassware be polished before use?,Polish glassware before use
Opening Wine - Still,Hard,How do you open a bottle of still wine with a cork?,Remove top of capsule w/ capsule remover or corkscrew → Clean neck of bottle w/ cloth → Center corkscrew on cork screw in & remove gently
Opening Wine - Still,Hard,What should you do once cork is removed?,Once cork is removed wipe inside & outside of neck w/ a cloth
Opening Wine - Sparkling,Medium,Is there a lot of pressure in a bottle of sparkling wine?,There is a lot of pressure in a bottle of sparkling wine
Opening Wine - Sparkling,Medium,Does chilling help reduce pressure in sparkling wine?,Chilling helps reduce pressure but not all
Opening Wine - Sparkling,Medium,What should always be in your hand when opening sparkling wine?,From the time you remove the wire cage the cork should always be in your hand
Opening Wine - Sparkling,Hard,How do you open sparkling wine?,Remove foil & loosen wire → Hold bottle at an angle. Hold cork in one hand & base of the bottle in the other. Holding the cork turn the bottle
Serving Wine - Appearance,Medium,What should you check in wine appearance?,Should not be hazy
Serving Wine - Appearance,Medium,What should you check for floating in wine?,Check that there are not bits floating in the wine
Serving Wine - Aroma,Medium,What should wine aroma not smell like?,Check aroma. Should not smell stale like cardboard or vinegar
Keeping Wine Fresh - General,Medium,Will wine slowly start to stale as soon as it is opened?,Will slowly start to stale as soon as it is opened
Keeping Wine Fresh - General,Hard,How should opened wine be stored?,Keep wine in fridge w/ cork
Keeping Wine Fresh - Vacuum,Medium,What do vacuum systems rely on?,Rely on a pump to remove air from inside the bottle
Keeping Wine Fresh - Blanket,Medium,What do blanket systems pump into the bottle?,Pump a gas into the bottle which pushes air out of the bottle
Keeping Wine Fresh - Blanket,Medium,Will the gas harm the wine?,The gas will not harm the wine
Tasting - Preparation,Medium,Should there be distracting smells when tasting?,No distracting smells
Tasting - Preparation,Medium,What surface helps assess appearance?,White surface to help assess appearance of the wine
Tasting - Preparation,Medium,What type of glass should be used for tasting?,Glass w/ wide bowl that narrows at the top
Tasting - Preparation,Medium,Should palate be clean before tasting?,Clean palate (no lingering toothpaste coffee etc.)
Food Pairing - Sweet Food,Hard,How does sweet food affect wine?,"The wine seems more dry & bitter, more acidic, less sweet & less fruity"
Food Pairing - Umami Food,Hard,How does umami food affect wine?,"The wine seems more dry & bitter, more acidic, less sweet & less fruity"
Food Pairing - Salty Food,Hard,How does salty food affect wine?,"The wine seems less dry & bitter, less acidic, more fruity, more full body"
Food Pairing - Acidic Food,Hard,How does acidic food affect wine?,"The wine seems less dry & bitter, less acidic, more sweet & fruity"
Food Pairing - Highly Flavored,Medium,How does highly flavored food affect wine?,The wine might be overwhelmed
Food Pairing - Fatty,Medium,How does fatty food affect wine?,The wine seems less acidic
Food Pairing - Hot/Chili,Medium,How does hot (chili) food affect wine?,The wine seems to increase the heat from the chili & alcohol seems more apparent
Food Pairing - Bitterness,Medium,Where can bitterness in wine come from?,Bitterness in wine can come from tannins or oak
Assessment - Wine Types,Easy,What are the types of wine for assessment?,"Still, Sparkling, Fortified"
Assessment - Characteristics,Medium,What are the characteristics used to assess wine?,"Color (white, red, rosé), Structural (sweetness, acidity, tannin, alcohol, body), Typical aromas/flavors (fruit, oak, other), Styles"
Assessment - Principal Varieties - White,Medium,What are the principal white grape varieties?,"Chardonnay, Sauvignon Blanc, Pinot Grigio, Riesling"
Assessment - Principal Varieties - Black,Medium,What are the principal black grape varieties?,"Cabernet Sauvignon, Merlot, Pinot Noir, Syrah/Shiraz"
Assessment - Regional Examples - White,Easy,What are examples of white wines from principal grape varieties & regions?,"Sancerre, Chablis, Burgundy-white"
Assessment - Regional Examples - Red,Easy,What are examples of red wines from principal grape varieties & regions?,"Burgundy-red, Bordeaux"
Assessment - Regional Examples - Sparkling,Easy,What are examples of sparkling wines from principal grape varieties & regions?,Champagne
Assessment - Other Examples - White,Medium,What are other examples of white wines?,Sauternes
Assessment - Other Examples - Rosé,Medium,What are other examples of rosé wines?,White Zinfandel
Assessment - Other Examples - Red,Medium,What are other examples of red wines?,"Beaujolais, Côtes du Rhône, Chianti, Rioja, Châteauneuf-du-Pape"
Assessment - Other Examples - Sparkling,Medium,What are other examples of sparkling wines?,"Prosecco, Cava"
Assessment - Other Examples - Fortified,Medium,What are other examples of fortified wines?,"Sherry, Port"
Wine Basics,Medium,What happens during fermentation?,Yeast converts sugar into alcohol and carbon dioxide
Wine Basics,Easy,What is ABV?,Alcohol By Volume - the measurement of alcohol content in wine
Growing Grapes,Easy,In what season are grapes harvested?,Late summer
Growing Grapes,Medium,What do grapes need from winter?,Cold enough to let vines rest
Climate - Cool,Hard,Why are cool climates suitable for white grapes?,Lower temperatures maintain higher acidity and lighter body
